r,z,vgr,u,v,w
356887.2983346207,2260.558450700762,2.802005015775011,0.0,2.802005015775011,0.0
357112.7016653793,2260.558450700762,2.800236438907225,0.0,2.800236438907225,0.0
357500.0,2260.558450700762,2.797202797202797,0.0,2.797202797202797,0.0
357887.2983346207,2260.558450700762,2.794175721388723,0.0,2.794175721388723,0.0
358112.7016653793,2260.558450700762,2.792417011040286,0.0,2.792417011040286,0.0
358500.0,2260.558450700762,2.789400278940028,0.0,2.789400278940028,0.0
358887.2983346207,2260.558450700762,2.7863900579385126,0.0,2.7863900579385126,0.0
359112.7016653793,2260.558450700762,2.784641131774277,0.0,2.784641131774277,0.0
359500.0,2260.558450700762,2.7816411682892905,0.0,2.7816411682892905,0.0
359887.2983346207,2260.558450700762,2.7786476617193836,0.0,2.7786476617193836,0.0
360112.7016653793,2260.558450700762,2.7769084383177662,0.0,2.7769084383177662,0.0
360500.0,2260.558450700762,2.7739251040221915,0.0,2.7739251040221915,0.0
360887.2983346207,2260.558450700762,2.7709481730575716,0.0,2.7709481730575716,0.0
361112.7016653793,2260.558450700762,2.7692185718979165,0.0,2.7692185718979165,0.0
361500.0,2260.558450700762,2.7662517289073305,0.0,2.7662517289073305,0.0
361887.2983346207,2260.558450700762,2.763291236254845,0.0,2.763291236254845,0.0
362112.7016653793,2260.558450700762,2.761571177704998,0.0,2.761571177704998,0.0
362500.0,2260.558450700762,2.7586206896551726,0.0,2.7586206896551726,0.0
362887.2983346207,2260.558450700762,2.75567649953373,0.0,2.75567649953373,0.0
363112.7016653793,2260.558450700762,2.7539659048378153,0.0,2.7539659048378153,0.0
363500.0,2260.558450700762,2.751031636863824,0.0,2.751031636863824,0.0
363887.2983346207,2260.558450700762,2.748103614983636,0.0,2.748103614983636,0.0
364112.7016653793,2260.558450700762,2.7464024062500383,0.0,2.7464024062500383,0.0
364500.0,2260.558450700762,2.7434842249657065,0.0,2.7434842249657065,0.0
364887.2983346207,2260.558450700762,2.740572238507869,0.0,2.740572238507869,0.0
365112.7016653793,2260.558450700762,2.7388803386974088,0.0,2.7388803386974088,0.0
365500.0,2260.558450700762,2.735978112175103,0.0,2.735978112175103,0.0
365887.2983346207,2260.558450700762,2.733082029771512,0.0,2.733082029771512,0.0
366112.7016653793,2260.558450700762,2.731399362685818,0.0,2.731399362685818,0.0
366500.0,2260.558450700762,2.728512960436562,0.0,2.728512960436562,0.0
366887.2983346207,2260.558450700762,2.725632652150162,0.0,2.725632652150162,0.0
367112.7016653793,2260.558450700762,2.723959142420229,0.0,2.723959142420229,0.0
367500.0,2260.558450700762,2.7210884353741496,0.0,2.7210884353741496,0.0
367887.2983346207,2260.558450700762,2.718223772679496,0.0,2.718223772679496,0.0
368112.7016653793,2260.558450700762,2.716559345754434,0.0,2.716559345754434,0.0
368500.0,2260.558450700762,2.7137042062415198,0.0,2.7137042062415198,0.0
368887.2983346207,2260.558450700762,2.7108550620056637,0.0,2.7108550620056637,0.0
369112.7016653793,2260.558450700762,2.7091996441416266,0.0,2.7091996441416266,0.0
369500.0,2260.558450700762,2.706359945872801,0.0,2.706359945872801,0.0
369887.2983346207,2260.558450700762,2.7035261943364817,0.0,2.7035261943364817,0.0
370112.7016653793,2260.558450700762,2.701879712585776,0.0,2.701879712585776,0.0
370500.0,2260.558450700762,2.699055330634278,0.0,2.699055330634278,0.0
370887.2983346207,2260.558450700762,2.6962368473934184,0.0,2.6962368473934184,0.0
371112.7016653793,2260.558450700762,2.6945992295937873,0.0,2.6945992295937873,0.0
371500.0,2260.558450700762,2.6917900403768504,0.0,2.6917900403768504,0.0
371887.2983346207,2260.558450700762,2.6889867023643528,0.0,2.6889867023643528,0.0
372112.7016653793,2260.558450700762,2.6873578771284343,0.0,2.6873578771284343,0.0
372500.0,2260.558450700762,2.684563758389262,0.0,2.684563758389262,0.0
372887.2983346207,2260.558450700762,2.6817754438570938,0.0,2.6817754438570938,0.0
373112.7016653793,2260.558450700762,2.680155340562047,0.0,2.680155340562047,0.0
373500.0,2260.558450700762,2.677376171352075,0.0,2.677376171352075,0.0
373887.2983346207,2260.558450700762,2.674602759853646,0.0,2.674602759853646,0.0
374112.7016653793,2260.558450700762,2.6729913086309436,0.0,2.6729913086309436,0.0
374500.0,2260.558450700762,2.67022696929239,0.0,2.67022696929239,0.0
374887.2983346207,2260.558450700762,2.667468341665206,0.0,2.667468341665206,0.0
375112.7016653793,2260.558450700762,2.6658654733905913,0.0,2.6658654733905913,0.0
375500.0,2260.558450700762,2.663115845539281,0.0,2.663115845539281,0.0
375887.2983346207,2260.558450700762,2.6603718838878785,0.0,2.6603718838878785,0.0
376112.7016653793,2260.558450700762,2.6587775301714807,0.0,2.6587775301714807,0.0
376500.0,2260.558450700762,2.6560424966799467,0.0,2.6560424966799467,0.0
376887.2983346207,2260.558450700762,2.6533130843590977,0.0,2.6533130843590977,0.0
377112.7016653793,2260.558450700762,2.6517271775357036,0.0,2.6517271775357036,0.0
377500.0,2260.558450700762,2.6490066225165565,0.0,2.6490066225165565,0.0
377887.2983346207,2260.558450700762,2.646291644114738,0.0,2.646291644114738,0.0
378112.7016653793,2260.558450700762,2.644714117234221,0.0,2.644714117234221,0.0
378500.0,2260.558450700762,2.642007926023778,0.0,2.642007926023778,0.0
378887.2983346207,2260.558450700762,2.639307267346907,0.0,2.639307267346907,0.0
379112.7016653793,2260.558450700762,2.6377380541648057,0.0,2.6377380541648057,0.0
379500.0,2260.558450700762,2.635046113306983,0.0,2.635046113306983,0.0
379887.2983346207,2260.558450700762,2.632359661362402,0.0,2.632359661362402,0.0
380112.7016653793,2260.558450700762,2.630798696330647,0.0,2.630798696330647,0.0
380500.0,2260.558450700762,2.628120893561104,0.0,2.628120893561104,0.0
380887.2983346207,2260.558450700762,2.6254485365418265,0.0,2.6254485365418265,0.0
381112.7016653793,2260.558450700762,2.6238957547996127,0.0,2.6238957547996127,0.0
381500.0,2260.558450700762,2.6212319790301444,0.0,2.6212319790301444,0.0
381887.2983346207,2260.558450700762,2.6185736062993406,0.0,2.6185736062993406,0.0
382112.7016653793,2260.558450700762,2.6170289436641445,0.0,2.6170289436641445,0.0
382500.0,2260.558450700762,2.6143790849673203,0.0,2.6143790849673203,0.0
382887.2983346207,2260.558450700762,2.611734587043051,0.0,2.611734587043051,0.0
383112.7016653793,2260.558450700762,2.6101979800017863,0.0,2.6101979800017863,0.0
383500.0,2260.558450700762,2.607561929595828,0.0,2.607561929595828,0.0
383887.2983346207,2260.558450700762,2.6049311981360113,0.0,2.6049311981360113,0.0
384112.7016653793,2260.558450700762,2.6034025838363255,0.0,2.6034025838363255,0.0
384500.0,2260.558450700762,2.600780234070221,0.0,2.600780234070221,0.0
