r,vgr,u,v,w
130887.29833462075,7.640160754509912,0.0,7.640160754509912,0.0
131112.70166537925,7.627026117974147,0.0,7.627026117974147,0.0
131500.0,7.604562737642586,0.0,7.604562737642586,0.0
131887.29833462075,7.582231288587231,0.0,7.582231288587231,0.0
132112.70166537925,7.56929490801606,0.0,7.56929490801606,0.0
132500.0,7.547169811320755,0.0,7.547169811320755,0.0
132887.29833462075,7.52517368124921,0.0,7.52517368124921,0.0
133112.70166537925,7.5124311015324094,0.0,7.5124311015324094,0.0
133500.0,7.49063670411985,0.0,7.49063670411985,0.0
133887.29833462075,7.468968396843203,0.0,7.468968396843203,0.0
134112.70166537925,7.456415295361593,0.0,7.456415295361593,0.0
134500.0,7.434944237918216,0.0,7.434944237918216,0.0
134887.29833462075,7.413596479034347,0.0,7.413596479034347,0.0
135112.70166537925,7.401228660770951,0.0,7.401228660770951,0.0
135500.0,7.380073800738008,0.0,7.380073800738008,0.0
135887.29833462075,7.35903952948945,0.0,7.35903952948945,0.0
136112.70166537925,7.346852922355545,0.0,7.346852922355545,0.0
136500.0,7.326007326007326,0.0,7.326007326007326,0.0
136887.29833462075,7.305279687495196,0.0,7.305279687495196,0.0
137112.70166537925,7.2932703378603065,0.0,7.2932703378603065,0.0
137500.0,7.2727272727272725,0.0,7.2727272727272725,0.0
137887.29833462075,7.2522996104632504,0.0,7.2522996104632504,0.0
138112.70166537925,7.240463678878785,0.0,7.240463678878785,0.0
138500.0,7.2202166064981945,0.0,7.2202166064981945,0.0
138887.29833462075,7.2000824552775375,0.0,7.2000824552775375,0.0
139112.70166537925,7.188416212384353,0.0,7.188416212384353,0.0
139500.0,7.168458781362007,0.0,7.168458781362007,0.0
139887.29833462075,7.148611860441584,0.0,7.148611860441584,0.0
140112.70166537925,7.137111683052302,0.0,7.137111683052302,0.0
140500.0,7.117437722419929,0.0,7.117437722419929,0.0
140887.29833462075,7.097871928986137,0.0,7.097871928986137,0.0
141112.70166537925,7.086534296333589,0.0,7.086534296333589,0.0
141500.0,7.067137809187279,0.0,7.067137809187279,0.0
141887.29833462075,7.047847212099593,0.0,7.047847212099593,0.0
142112.70166537925,7.0366687022432055,0.0,7.0366687022432055,0.0
142500.0,7.017543859649122,0.0,7.017543859649122,0.0
142887.29833462075,6.998522693445775,0.0,6.998522693445775,0.0
143112.70166537925,6.987499979828223,0.0,6.987499979828223,0.0
143500.0,6.968641114982578,0.0,6.968641114982578,0.0
143887.29833462075,6.949883774135676,0.0,6.949883774135676,0.0
144112.70166537925,6.939013622282496,0.0,6.939013622282496,0.0
144500.0,6.920415224913495,0.0,6.920415224913495,0.0
144887.29833462075,6.901916258321524,0.0,6.901916258321524,0.0
145112.70166537925,6.8911955226768296,0.0,6.8911955226768296,0.0
145500.0,6.8728522336769755,0.0,6.8728522336769755,0.0
145887.29833462075,6.8546063393833405,0.0,6.8546063393833405,0.0
146112.70166537925,6.8440319602751245,0.0,6.8440319602751245,0.0
146500.0,6.825938566552901,0.0,6.825938566552901,0.0
146887.29833462075,6.80794058667974,0.0,6.80794058667974,0.0
147112.70166537925,6.797509587408623,0.0,6.797509587408623,0.0
147500.0,6.779661016949152,0.0,6.779661016949152,0.0
147887.29833462075,6.761905932836274,0.0,6.761905932836274,0.0
148112.70166537925,6.751615416881873,0.0,6.751615416881873,0.0
148500.0,6.734006734006734,0.0,6.734006734006734,0.0
148887.29833462075,6.716489661546032,0.0,6.716489661546032,0.0
149112.70166537925,6.706336809885448,0.0,6.706336809885448,0.0
149500.0,6.688963210702341,0.0,6.688963210702341,0.0
149887.29833462075,6.6716793958585985,0.0,6.6716793958585985,0.0
150112.70166537925,6.661661464391802,0.0,6.661661464391802,0.0
150500.0,6.644518272425249,0.0,6.644518272425249,0.0
150887.29833462075,6.627463086934682,0.0,6.627463086934682,0.0
151112.70166537925,6.617577404011866,0.0,6.617577404011866,0.0
151500.0,6.600660066006601,0.0,6.600660066006601,0.0
151887.29833462075,6.583829003244986,0.0,6.583829003244986,0.0
152112.70166537925,6.574072967291195,0.0,6.574072967291195,0.0
152500.0,6.557377049180328,0.0,6.557377049180328,0.0
152887.29833462075,6.540765720192949,0.0,6.540765720192949,0.0
153112.70166537925,6.5311367974255585,0.0,6.5311367974255585,0.0
153500.0,6.514657980456026,0.0,6.514657980456026,0.0
153887.29833462075,6.498262110142103,0.0,6.498262110142103,0.0
154112.70166537925,6.488757832376938,0.0,6.488757832376938,0.0
154500.0,6.472491909385114,0.0,6.472491909385114,0.0
154887.29833462075,6.456307332829743,0.0,6.456307332829743,0.0
155112.70166537925,6.4469252953718446,0.0,6.4469252953718446,0.0
155500.0,6.430868167202572,0.0,6.430868167202572,0.0
155887.29833462075,6.414890826149572,0.0,6.414890826149572,0.0
156112.70166537925,6.405628685764828,0.0,6.405628685764828,0.0
156500.0,6.389776357827476,0.0,6.389776357827476,0.0
156887.29833462075,6.374002297286849,0.0,6.374002297286849,0.0
157112.70166537925,6.364857770250896,0.0,6.364857770250896,0.0
157500.0,6.349206349206349,0.0,6.349206349206349,0.0
157887.29833462075,6.333631714190431,0.0,6.333631714190431,0.0
158112.70166537925,6.324602574411404,0.0,6.324602574411404,0.0
158500.0,6.309148264984227,0.0,6.309148264984227,0.0
158887.29833462075,6.293769297366831,0.0,6.293769297366831,0.0
159112.70166537925,6.284853374578746,0.0,6.284853374578746,0.0
159500.0,6.269592476489028,0.0,6.269592476489028,0.0
159887.29833462075,6.254405511982235,0.0,6.254405511982235,0.0
160112.70166537925,6.245600690005891,0.0,6.245600690005891,0.0
